dataset,n,delta,kappa,cp_gap,risk_gap,nc
housing,200,1,1.4256557397743141,-0.023639194130440355,0.005918015166411411,50
housing,200,0,0.6948833862074797,0.2513860447136653,0.010489502585265015,50
housing,200,0,6.949431699292093,0.20385092964946816,0.012831232782318486,50
housing,200,0,0.5279723906724005,0.004873575206481462,0.06336087576001082,50
housing,200,1,0.24157585019479905,-0.004230079906385464,0.008421669670845386,50
housing,200,0,1.2334851794585926,0.016448160498600872,0.0030560394353166265,50
housing,200,0,2.5463349494488092,0.09817317499246281,0.006901482755147903,50
housing,200,0,0.8992830580927815,0.012541789718198526,0.00740917091303217,50
housing,200,0,0.32981142493738785,0.004529200182389559,0.009518489158927945,50
housing,200,1,1.0782861092422937,-0.036667698955346495,0.012098408301377095,50
housing,200,1,2.5831651022376074,-0.058357908609545595,0.005803350354160436,50
housing,200,0,0.997011103103115,0.0036251310487274147,0.04734739227364604,50
housing,200,0,1.4363982423007928,0.06791049603109656,0.014367098804340173,50
housing,200,0,1.2136900511070048,0.0291407922101361,0.011027921622378062,50
housing,200,1,0.7146586696447128,0.010795819512898985,-0.0017995200672429879,50
housing,200,1,0.5447934160259066,-0.017641069210527993,0.008837934439652917,50
housing,200,1,2.072029090931404,0.025613486411206754,-0.006206426135441867,50
housing,200,0,0.1400709670454941,0.013878768138666508,0.011546241769569365,50
housing,200,0,0.5501244309620343,0.008889938532689934,0.0036325737412010173,50
housing,200,1,1.3962368196081154,-0.035912828788442264,0.06791731254579325,50
housing,200,0,2.2508432611687366,0.018214624335864515,0.0051956850282702804,50
housing,200,1,5.332696695673087,0.08609542881161669,-0.0005082529940790559,50
housing,200,0,5.905376385714376,0.15159502306154993,0.039155720485115564,50
housing,200,0,0.7329560309916301,0.03461127837169875,0.015232619477158899,50
housing,200,0,2.871724715338336,0.06958328129320468,0.0016086171689176365,50
housing,200,0,6.40736986436138,0.18074573397415405,0.009844770278813031,50
housing,200,1,0.3585911575709715,-0.010075542955500394,0.007766237127061926,50
housing,200,1,0.6237083367081829,-0.0024435005456948655,0.0010128739849501744,50
housing,200,1,0.4001999110378337,0.003975267284832773,-0.0001688239124792157,50
housing,200,1,0.442389150054405,-0.0021475458176019036,0.0002695021423511079,50
housing,200,1,0.7560563739133641,0.014552078867923202,-0.01645069139493649,50
housing,200,0,0.08971831738667198,0.00092776150138274,0.00011279091857355206,50
housing,200,0,0.3511900436891383,0.01750451023156141,0.03879292534072476,50
housing,200,1,5.810980977482121,-0.0384296304366738,0.003952999126512813,50
housing,200,1,4.633309228713407,-0.045274966195951505,0.001861409482833698,50
housing,200,1,0.9730713580911828,-0.017753145380202895,0.07671381436811298,50
housing,200,0,1.54234181310952,0.2657474192315823,0.2774949576702342,50
housing,200,1,1.1695479316525865,0.07589325087561916,-0.024852605450540632,50
housing,200,0,1.8965847200413388,0.0743874104890021,0.004497990180978295,50
housing,200,1,0.7390531017415541,-0.016450672622763785,0.016112060029966097,50
housing,200,1,5.498361974326739,0.10320861794090819,-0.0068859825583494905,50
housing,200,1,1.80687695904463,-0.01040884849762369,0.04644535796704946,50
