dataset,n,delta,kappa,cp_gap,risk_gap,nc
diabetes,100,0,0.7235454843633192,-21.221207527595567,-1598.1221325809292,25
diabetes,100,1,0.028510452519211017,0.9378595603684232,-1719.2637861484495,25
diabetes,100,0,0.6082852774822555,-25.2387272082359,-271.16032828327025,25
diabetes,100,0,2.4479449590908344,-86.500091517036,-2351.889262869304,25
diabetes,100,1,1.7074892435738036,-65.39636207611542,23.164419989538146,25
diabetes,100,1,0.025367124529404154,-0.9359650728923441,343.9814778167106,25
diabetes,100,0,0.514393529918262,-20.308728413147207,-1348.3250643366955,25
diabetes,100,0,0.3738029666499338,-14.030338414023163,-1613.7585020609072,25
diabetes,100,1,0.26808339146419763,14.465470092330065,-631.4551693943304,25
diabetes,100,1,0.15194901342297468,6.998000872012966,-150.77728511436635,25
diabetes,100,1,0.08408127704321312,3.0178686540949116,-1419.3557038989898,25
diabetes,100,0,1.3258275048378485,-52.104636041782356,-1504.333293073506,25
diabetes,100,1,0.834357143056134,24.72015818757984,-648.3366013391696,25
diabetes,100,1,0.6870289837206476,35.22145950523392,-509.30337761731516,25
diabetes,100,0,0.24592295237533837,-9.163083351041507,-573.4932529410958,25
diabetes,100,0,0.6428631638854881,-27.965080819065776,-1478.9565963820573,25
diabetes,100,0,1.141744156925908,-53.73630821768066,-4325.804465342742,25
diabetes,100,0,0.7675488737009569,-36.446323423985234,-752.6205202088267,25
diabetes,100,0,0.9142048873019076,-39.815706004980086,-1630.8640162584966,25
diabetes,100,0,0.26890940319838746,9.889312026669757,481.59375156127817,25
diabetes,100,0,0.2091190244379993,-7.279735051223014,-56.2433496773383,25
diabetes,100,1,1.762306084912172,85.9074647755993,-843.6236091588662,25
diabetes,100,0,0.1968377232100161,-9.152821698067811,-872.6666870974818,25
diabetes,100,0,1.451302800996076,-61.103761381695875,-1278.610851236719,25
diabetes,100,0,0.4886540974087688,-17.18535692643289,-2541.223523709689,25
diabetes,100,1,2.0282058662024536,82.82795140085125,-2091.648069887776,25
diabetes,100,0,0.6458055658832134,-21.645972871554733,-25.732807211649742,25
diabetes,100,0,0.9643639671853715,-35.4024045589922,-649.7417796179416,25
diabetes,100,1,0.7719470679590079,35.586452557528474,-1343.7451864957866,25
diabetes,100,1,1.082543306600622,43.9938932311135,-1849.2396807756102,25
diabetes,100,1,0.05952336593057183,3.165241350332394,-2029.009314331135,25
diabetes,100,0,1.8674978472121566,-80.20792394392944,-2406.0221191676374,25
diabetes,100,1,0.46037340580102587,16.150531058270815,-1185.521466026425,25
diabetes,100,1,0.5062892400812158,17.269645032770285,-1639.1846978504254,25
diabetes,100,0,1.9937009807497263,-82.01124852810287,-1375.2625112463857,25
diabetes,100,0,3.627963633374207,-99.510888005086,-1016.849794869946,25
diabetes,100,1,0.24417923135669597,10.78173914589894,-2410.4319863487976,25
diabetes,100,0,1.0582368246884206,-34.95243793598635,-2448.9494953080557,25
diabetes,100,0,0.6015374824345608,-27.119311977186328,-1727.2743831463545,25
diabetes,100,1,0.11008475331141426,4.768884801948218,-791.9559658167022,25
diabetes,100,1,1.1279971540932532,63.353702397047186,-647.7865294792996,25
diabetes,100,1,1.0305255456705467,30.55656045858791,-1469.9252711006784,25
diabetes,100,1,0.2607989121232003,11.723565211722274,-56.68284292106273,25
diabetes,100,0,1.2555956342143635,-45.87556964482164,-1293.957320886936,25
