n,delta,kappa,cp_gap,risk_gap,nc,n_group
30,0,5.246642855499076,1.8545571791097224,0.8176106738929376,10,30
30,0,8.419471459985976,4.646390140534483,3.093212617845242,10,30
30,0,2.7761449134122853,1.1201309796377776,6.623881869127548,10,30
30,0,4.657103504584604,2.9648114724629213,0.9762319365888854,10,30
30,0,5.916104457042026,2.4672269429550635,7.1475837968661775,10,30
30,0,10.572743478460248,4.371678842268416,5.235859000391105,10,30
30,0,6.146385800497196,1.7315776116947514,4.095006507859466,10,30
30,0,9.427344947068603,3.5478661828119598,5.075754185213452,10,30
30,0,3.432989405624908,1.7586718355476192,1.6900980096204983,10,30
30,0,4.227457987561883,1.9857592834830369,2.8837314805430134,10,30
30,0,8.346424231558267,5.490390184959471,4.318009283816301,10,30
30,0,1.2117594938958978,0.4227361462426815,1.7125873231500448,10,30
30,0,4.377754006430252,2.3235458041813803,2.398897771814416,10,30
30,0,3.7538921466164306,1.2826436531120162,0.35225954819190286,10,30
30,0,3.790204769880304,1.0866808841322158,2.2310400817093043,10,30
30,0,7.652894410902471,3.8060117643095954,2.8606426841510135,10,30
30,1,0.775687498801457,-0.4635294651666886,0.7088702733929604,10,30
30,0,5.8089246236077585,2.367860673733817,1.9806933633577044,10,30
30,0,8.267700838144943,2.159008271857499,1.6973119240145846,10,30
30,0,8.25505273849353,3.7316474483082196,5.519719820465318,10,30
30,0,11.246115692396778,3.95547684719141,2.1712145928005615,10,30
30,1,3.439675257495894,2.9906004082852586,-2.594332467461088,10,30
30,0,3.377555255899166,2.683428148950763,1.4955170560800628,10,30
30,0,9.877718981268504,4.8447780636981745,3.080233618797143,10,30
30,0,5.015457488992209,1.3390884709708812,2.0991775451925783,10,30
30,0,6.773123547950208,3.3814520350869155,3.5933098364126437,10,30
30,1,6.925712022590095,3.153788876582196,-1.6833682525999096,10,30
30,1,4.152277858112984,2.549966507285854,-1.5671689507975324,10,30
30,0,6.593290547930662,2.0727087101569635,0.201132858769411,10,30
30,0,8.98076322044716,5.745456711052638,0.9689759460653973,10,30
30,0,4.660956666951499,2.5714419012618333,2.7327265140633497,10,30
30,0,0.9497586193043422,0.5765674988096334,3.629366323340777,10,30
30,0,4.0112591610444905,1.2367779519706836,1.0306480861114071,10,30
30,0,2.17189509114786,0.8803261740006665,6.882762424713394,10,30
30,0,4.46120312026041,2.3120441938819822,3.2828060013846567,10,30
30,0,8.84754125783343,2.5302209405159974,2.6873941791575273,10,30
30,0,7.103041826585788,-1.5652546478954594,-0.48639682162288267,10,30
30,0,0.9239061692332332,0.2850106019656371,3.938449560947131,10,30
30,1,2.902587370425026,2.128592990479235,-0.22786172040853359,10,30
30,0,0.297443525977349,0.10880967070479652,3.622086053089293,10,30
30,0,11.780371551052434,5.3599167450458,2.6265211636773165,10,30
30,0,6.677492593111298,2.919967434291566,3.494870126818011,10,30
30,0,7.93300136454495,2.4936025151495063,2.7605809219174913,10,30
30,0,3.6164601946995405,1.0499986708882152,1.0473039297740487,10,30
30,1,1.705023250867407,-0.7385695710046032,1.6308208527298615,10,30
30,0,18.27177054764475,4.571496012419927,6.073824627936295,10,30
30,0,8.1585244794163,3.5752476949916687,0.7120315759780825,10,30
30,1,6.880082897641617,3.096539932204391,-0.6478267877751307,10,30
30,0,8.239833521870557,5.404047983830477,5.767671706832953,10,30
30,0,1.5079833818925212,0.6044527221276037,1.764891327227442,10,30
30,0,4.690407561986582,3.3014326249002908,2.5760403081384853,10,30
30,0,6.006101614714867,-4.066794872560086,-6.94114898544604,10,30
30,0,12.023233905404306,3.5508507861190832,1.9874291623875948,10,30
30,0,0.3147409493232569,-0.3282124755431548,-0.47040249509270904,10,30
30,0,7.938127583981467,3.1050828817701963,2.3157313325138733,10,30
30,1,1.1142750531259011,-0.3287371472030669,5.2259099788634105,10,30
30,0,5.113903892703048,2.682758448833332,1.4984347361134422,10,30
30,0,8.645881955111667,2.974008504894335,3.6852911861558684,10,30
30,0,6.320960730311286,3.321939220641626,1.5294975932336126,10,30
30,0,5.063140115291189,2.045362070148281,3.431676063174124,10,30
30,0,6.927091400398028,2.8925072369985028,2.5674283807057203,10,30
30,0,2.5301003301289517,0.8935573486525716,1.3202398533574327,10,30
30,0,8.232014924730919,2.5258440125788804,3.0347546504632312,10,30
30,0,1.7599389590982555,1.3654641648316055,3.5478780680659727,10,30
30,0,3.829125665411756,1.7946152519716985,3.3069442063344336,10,30
30,1,3.48755953146017,1.224031317284343,-0.39397512444175,10,30
30,0,9.70574163145856,4.900057055651994,1.3035019834380044,10,30
30,0,8.732193743631715,2.6579385016904573,0.3959514719000201,10,30
30,0,6.688526408897019,3.186581633048893,4.402552915675457,10,30
30,0,8.060065867659347,4.1424423139536835,2.0275410782655143,10,30
30,0,0.45772851514028384,-0.26601817486415325,-1.848390513827741,10,30
30,0,3.04389191196102,1.1008507956517306,4.0052875484608395,10,30
30,0,2.0002339420893427,0.7556488420423015,1.252478586417733,10,30
30,0,1.6912495112565928,0.8745037968406333,5.926486619256606,10,30
30,1,5.366267155634585,2.313272260942374,-0.029009679966374158,10,30
30,0,10.248997708003586,4.200925774523393,2.625573649935154,10,30
30,0,1.0003535406785509,0.3672235787236655,2.7751525615558066,10,30
30,0,6.624571510749711,2.329499228054399,4.17971402049922,10,30
30,0,5.721043488866081,2.743305140845278,2.762483443247086,10,30
30,0,1.4043904082305487,0.6509980076788642,0.8820359489802447,10,30
30,0,6.455294846787359,1.3414330790178983,8.058101770917926,10,30
30,0,11.88624263733688,5.037012625807293,6.181969102520736,10,30
30,0,11.659012363231493,6.005217036567576,4.712456513495484,10,30
30,0,8.44667044949113,3.5442011005266436,5.768145842392494,10,30
30,0,6.888396987654008,5.592573113178956,2.6137299031772887,10,30
30,0,5.513175665915598,1.8983621879120256,5.253765033068611,10,30
30,0,9.505582331429709,4.102993937750959,2.5117860939171903,10,30
30,1,0.2519212884085532,-0.05159937836095052,3.180392269047637,10,30
30,0,2.6083414637588698,1.1666212236352491,5.282957987858714,10,30
30,0,8.127953662306938,4.826049102688264,2.5242856187100564,10,30
30,0,8.681596167034547,4.443073045902873,2.8302366501815572,10,30
30,0,1.7721305811459684,-1.0592429592000778,-0.6336726227579064,10,30
30,0,11.794209197563493,5.397998368047004,4.476760758891977,10,30
30,0,4.566114114059431,1.7961346204490227,3.986890386930965,10,30
30,0,2.6833953962702255,0.8846385092745903,3.211438479047194,10,30
30,0,3.5835779602370694,2.2344578456326127,2.0222474808637063,10,30
30,1,1.0411976944677757,-0.37893444186800185,2.4193121366067514,10,30
30,1,1.8898796399595243,0.5807521580836665,-0.5079439729763995,10,30
30,0,10.27685163273187,3.844702351157299,0.9449205000373775,10,30
30,0,8.351113853289181,4.276501008911454,1.5023054528242783,10,30
30,1,0.39942145849105154,-0.2518026138226164,1.7213430372933205,10,30
30,1,2.325744477300417,-1.3386699386646868,0.8668855878825188,10,30
30,0,3.1133896823801583,1.456553825094388,0.8382049019729956,10,30
30,0,4.987143596091176,2.048537966163359,1.7006653191892795,10,30
30,0,0.9280027719949293,0.2691064946349808,3.4041681885688675,10,30
