dataset,n,delta,kappa,cp_gap,risk_gap,nc
housing,1000,1,3.1616997330751717,-0.0018265132803512163,0.0008269291086868691,250
housing,1000,0,0.7233822121422244,0.0014298831508565701,0.002860140619175222,250
housing,1000,0,3.970640485293887,0.002144338003608137,0.0020995432304795614,250
housing,1000,1,3.373757192486823,0.0021071157016598896,-0.0013287624488552696,250
housing,1000,0,0.5070129694008534,0.0022873815787356477,0.0006510909840069801,250
housing,1000,0,5.980708259659796,0.0012915770626971135,0.0001839069379286351,250
housing,1000,1,0.6256279336048667,-0.0006904994437033629,8.453909933436865e-05,250
housing,1000,1,0.11713518756163317,-3.6038353663947476e-05,0.00010189697948770338,250
housing,1000,1,2.54906883888062,0.0008930651223795216,-0.0004749247151352165,250
housing,1000,0,3.458275071228743,0.004582524922020825,0.012711001028291702,250
housing,1000,0,0.25814687024231125,0.0001252199520578312,1.721741594989945e-06,250
housing,1000,1,0.313936646067065,-0.0001448996504593847,8.068482148546052e-05,250
housing,1000,1,2.9020032126010094,-0.0008863489225976462,0.00041834265450119146,250
housing,1000,1,3.372137900607067,-0.0011350203893405464,0.000655617025909383,250
housing,1000,1,2.392330201583071,-0.0009427413203892954,3.235364299286614e-05,250
housing,1000,1,9.64572586112825,-0.0029394582849975315,0.0005876925614000661,250
housing,1000,1,1.398055305582469,-0.00075582289971865,0.0007502690802486112,250
housing,1000,0,1.9941844844598526,-0.0006832486706258578,-2.0833706341705227e-05,250
housing,1000,0,2.042686065973047,0.0007717415528596394,0.00011874580096032927,250
housing,1000,1,0.15180340182484828,-0.00011000769129054788,0.0008811912262538524,250
housing,1000,0,1.6429602896304105,-0.0017162889797879277,-0.001805097613242157,250
housing,1000,1,0.8735061842468774,-0.0003095054422546095,0.0004906690682751069,250
housing,1000,0,6.9724041959994,0.007632359153219026,0.006538371777678242,250
housing,1000,1,2.6300589363859306,-0.001867784817091822,3.3145750327423507e-05,250
housing,1000,0,7.157731514885138,-0.005853021459168106,-0.00024195628321718732,250
housing,1000,1,1.2196504262758787,-0.004327325440292684,0.0006437275255664621,250
housing,1000,1,0.9683130781483293,-0.0011135933989987468,0.0007750141272585553,250
housing,1000,0,1.680803036469439,0.0038429969991780055,0.0023461914467051703,250
housing,1000,0,0.5221395967007204,0.0002421510325958387,0.00011234239049190409,250
housing,1000,0,4.724930960558605,0.004184578193468402,0.00012125834558884829,250
housing,1000,0,1.6708114044456088,0.000980975700122677,0.000613990571432077,250
housing,1000,0,4.272102033306025,0.0014453921475736653,0.00011369994803972494,250
housing,1000,1,3.1596033405771307,-0.0012960106442887476,0.00024978086399224386,250
housing,1000,1,18.40686355772054,0.022426675161279386,-2.2566430754683564e-05,250
housing,1000,1,0.6181838320203977,-0.00017874523230121397,0.0001740464490800342,250
housing,1000,1,13.918234612474626,0.009046963566238242,-0.00046716831723650487,250
housing,1000,1,0.11419567686860592,-4.155475662681596e-05,0.0005015628173087872,250
housing,1000,1,4.367205403030933,-0.0025413787783130637,6.989232149978708e-06,250
housing,1000,1,0.14168984310812083,-8.819831392270494e-05,4.257937728538441e-05,250
housing,1000,0,10.396919680402682,0.0065230303382930455,0.0005033606737258056,250
housing,1000,0,2.8594426401211366,0.0012192836152080666,0.00019729318304489984,250
housing,1000,0,4.153179158925107,0.003379847626808319,0.004616542745992325,250
housing,1000,0,8.58023196880201,-0.002629683566177876,-8.463211986911578e-05,250
housing,1000,0,1.9103339175317666,-0.0009408442546776641,-0.00018799141958636412,250
housing,1000,1,3.6959144802993236,-0.009287378042921013,0.007418980673226494,250
housing,1000,0,1.4621892664676726,0.0005287108312799216,0.00011442692840013535,250
housing,1000,0,0.48606211168616653,-0.0001402696488199684,-1.2742322268860518e-05,250
housing,1000,0,1.8636835465670711,-0.003895512246415933,-0.00012117033558489698,250
housing,1000,0,8.71453701287705,0.006342005993606348,0.0012500159962205437,250
housing,1000,1,3.6208782007191704,-0.0015194140044230142,0.0008455785309059161,250
housing,1000,1,1.182462440760325,-0.0014564467847566487,0.00020132387890919867,250
housing,1000,0,3.0473972663305418,0.0020119405694578596,0.0003811416554402869,250
housing,1000,0,4.577995673716673,0.0034685753757199844,0.00015262717302255702,250
housing,1000,1,2.4526177706851144,-0.0019095239182662649,0.004667802862737658,250
housing,1000,0,1.5423451147544451,0.005635363498878165,0.0016015929701850284,250
housing,1000,1,3.4368587196781526,-0.001879510050799782,1.6765312172928315e-05,250
housing,1000,0,33.64490192338972,0.010126806319503467,2.459974394225517e-05,250
housing,1000,1,1.240662243012039,0.002680106380672509,-0.000811074966677483,250
housing,1000,1,3.055164033051014,-0.0008841025966792593,0.0014269844625549588,250
housing,1000,1,1.4053968135340122,0.00031241933225323315,-0.00021748404718674452,250
housing,1000,1,2.980506563444437,-0.003230821016211749,0.001588960254869709,250
housing,1000,1,4.260177864937999,-0.009514428330744451,0.003200232532353353,250
housing,1000,0,17.092438991654458,0.03263371229104162,0.0002148049592685386,250
housing,1000,1,5.540115835178011,-0.0033242428918220934,6.228270044886242e-05,250
housing,1000,0,0.4625797063021582,0.0006371510181379936,0.020854504359995862,250
housing,1000,0,0.8566110338615565,-0.0002921329479177448,-2.3081764830956697e-05,250
housing,1000,1,7.5942979846753795,-0.006621625356427074,1.366036735292453e-05,250
housing,1000,1,0.40187992871156086,-0.00022350147768745998,0.0012816739778347408,250
housing,1000,0,5.524046348510225,0.005436148257027984,0.0007371228537248475,250
housing,1000,0,1.4972583307324103,0.002181213022562689,0.013066126457619731,250
housing,1000,1,3.297407253844208,-0.0020616643249986577,0.004572035523531581,250
housing,1000,1,1.6005621617613295,0.0021338869180107523,-0.00021556362853053512,250
housing,1000,0,8.387669803349763,0.0033624164795800215,7.260955943577674e-05,250
housing,1000,0,2.438967818755973,0.0046871744472651855,0.0021341658264616425,250
housing,1000,0,3.9478275111982404,-0.002813370363917933,-3.3989634354858467e-06,250
housing,1000,1,6.260128054150999,-0.00549242428122132,6.961760917836846e-05,250
