n,delta,kappa,cp_gap,risk_gap,nc
50.0,0.0,1.3750808651270663,2.712308657968075,2.3573479988115276,15.0
50.0,0.0,0.14958286880242205,0.3018952213452746,3.9825301117512817,15.0
50.0,0.0,3.8087115248930714,14.493726781293804,26.854691388002486,15.0
50.0,0.0,3.4528886591060277,6.536289742314388,6.473544342129908,15.0
50.0,0.0,3.6717240927397725,20.381707540373306,56.42610432905249,15.0
50.0,0.0,2.7622616967554885,6.184511682138198,4.846239480528952,15.0
50.0,0.0,0.7429585296901596,1.3505955286059534,4.58853280374809,15.0
50.0,0.0,3.250743828174246,29.77288216489132,142.38600662133737,15.0
50.0,0.0,4.018439139764252,207.11620491708337,2223.036829696287,15.0
50.0,0.0,3.218886625170818,12.40500149513667,32.08352392840094,15.0
50.0,0.0,4.316201557261814,29.900135013134786,49.50461865875523,15.0
50.0,0.0,3.5057673535603335,9.316746875050232,11.026370467377706,15.0
50.0,0.0,2.0361958572639804,6.960990670535407,30.2844266575559,15.0
50.0,0.0,2.6700560603339607,9.741676249442046,21.83929203420678,15.0
50.0,0.0,3.365413090611907,9.399871784312554,11.82855017705239,15.0
50.0,0.0,1.0056360171032124,1.961325206897195,9.890222439434828,15.0
50.0,0.0,1.8419619907535485,4.012398394793479,6.2952649022093725,15.0
50.0,0.0,4.043668728066913,8.7804943470149,14.343910099017569,15.0
50.0,0.0,3.4490337327399407,21.930856757676086,55.1984135329435,15.0
50.0,0.0,3.5424394843684714,27.912171136444762,50.173163530984276,15.0
50.0,0.0,3.076100683991726,9.159403719843361,7.371923218744554,15.0
50.0,0.0,2.6535531649447113,5.4697148636851045,5.6147789110700845,15.0
50.0,0.0,3.629486950005798,35.48873424828616,210.51882684426616,15.0
50.0,0.0,3.5410170919401214,11.31760312578591,20.598952229051147,15.0
50.0,0.0,1.5938427586745276,3.9216291276913893,13.712877191586232,15.0
50.0,0.0,2.372310908748678,8.301297005902768,13.21905819955499,15.0
50.0,0.0,2.8699452346135685,5.3737699086583,3.5391079382325685,15.0
50.0,0.0,3.928694299846729,16.39574624550952,13.55414001475333,15.0
50.0,0.0,3.0607813639063934,4.967509192722278,10.862057795916378,15.0
50.0,0.0,1.3935055844315898,2.9171297770966946,1.4201686455131983,15.0
50.0,0.0,2.1731401758973945,4.287651977059179,5.120490959462016,15.0
50.0,0.0,5.3745075521658165,16.129795260193955,23.81872919868017,15.0
50.0,0.0,1.5040274564215046,1.7628073511957338,2.815372512728087,15.0
50.0,0.0,2.7766189957058875,6.202226586878565,8.886803272635543,15.0
50.0,0.0,2.489676238253996,7.069002226399213,8.58193060777623,15.0
50.0,0.0,2.547561788506179,4.922759102080133,3.0965105304033402,15.0
50.0,0.0,1.9391652992420187,3.889929487065373,2.1542133599430375,15.0
50.0,0.0,1.9740071125688605,4.749564696878281,13.747417772942566,15.0
50.0,0.0,2.756215292248111,6.777552349915885,20.163364484270456,15.0
50.0,0.0,2.6169009227745543,11.74822185272399,37.43278842315864,15.0
50.0,0.0,2.660917712224219,6.914491543267242,5.952346869851309,15.0
50.0,0.0,3.6337462401470546,25.653929045051015,53.5348049246658,15.0
50.0,0.0,2.828880616120904,15.26845146725892,64.9459517052257,15.0
50.0,0.0,2.794764934888181,5.879396050160906,3.7043881113771717,15.0
50.0,0.0,2.561451227847714,4.843748219940634,9.57201456039939,15.0
50.0,0.0,3.739032247260439,16.820637451448217,30.958932165056215,15.0
50.0,0.0,1.4945044567613863,3.041577706883176,10.207604110306956,15.0
50.0,0.0,3.3015164305353317,22.211289286083538,36.314187949401116,15.0
50.0,0.0,3.204372483307649,8.178543332281393,9.086069775503017,15.0
50.0,0.0,2.924359147428778,15.615961851231077,39.0319208465709,15.0
50.0,0.0,3.68302352788954,20.440002143032892,23.61440421625263,15.0
50.0,0.0,2.9486121278934476,11.808374502478733,51.15862419516512,15.0
50.0,0.0,3.317198884175927,35.08344966274779,170.95041803895361,15.0
50.0,0.0,1.3932638613408403,2.016300555402208,3.5086042661796943,15.0
50.0,0.0,2.4659145678639236,5.2425330804470605,6.78667708171631,15.0
50.0,0.0,3.627399073259895,15.331918978398438,81.7104652457314,15.0
50.0,0.0,1.4316145363151598,3.410279210776803,1.1451571493811041,15.0
50.0,0.0,2.9805758343686333,11.519192191931467,32.49251277195876,15.0
50.0,0.0,3.9120893486791,37.955922078111854,57.8017061420612,15.0
50.0,0.0,1.8086864115235364,3.303068611990667,10.061272854242269,15.0
50.0,0.0,1.5002005640647142,3.14414481094508,2.7514557937934416,15.0
50.0,0.0,2.166498821294965,8.628909088965402,17.676014101095962,15.0
50.0,0.0,0.7239857130536119,1.5709742801305167,2.517288429725265,15.0
50.0,0.0,1.4857046777921388,5.536284001475703,17.675479422868346,15.0
50.0,0.0,4.322789627586257,57.046336631207275,207.4568080836924,15.0
50.0,0.0,4.091122228957082,28.186170834659777,101.18710028044185,15.0
50.0,0.0,2.412170499580317,4.808769742892501,6.949304467102729,15.0
50.0,0.0,2.1785850317155835,6.104001139506741,6.9877198797255975,15.0
50.0,0.0,3.7536141215702252,18.57045679267285,17.893750434791492,15.0
50.0,0.0,3.815355214623997,26.155303361032953,97.230225065857,15.0
50.0,0.0,1.4745625441754089,2.796196341388387,1.8869639311282478,15.0
50.0,0.0,2.6619110972725397,8.865426571446012,19.028541754583628,15.0
50.0,0.0,2.3936200046508644,3.6520763598602164,6.82282098390119,15.0
50.0,0.0,2.4073956939648906,3.391000223872494,7.540243969969408,15.0
50.0,0.0,2.8451844897415137,8.68515161194706,30.510363783289502,15.0
50.0,0.0,4.131808302754221,12.67584212916189,45.64226465950667,15.0
50.0,0.0,4.421255777604067,34.347024514809654,71.57690425807017,15.0
50.0,0.0,2.9421609268204834,10.468150817777897,22.195201282267206,15.0
50.0,0.0,2.866671248063113,6.399710224218934,1.9789794003917076,15.0
50.0,0.0,2.665814601095515,11.310498508468683,16.249685406102085,15.0
50.0,0.0,2.665512491569076,7.58878121074461,12.059020460700692,15.0
50.0,0.0,2.023273253610161,3.1678474342687277,4.8051622816054405,15.0
50.0,0.0,2.404614096206186,5.353538025956711,8.950549057127382,15.0
50.0,0.0,3.481375696084002,13.863003866939074,11.668999746142779,15.0
50.0,0.0,3.271147145751293,25.686908367432373,155.04609803254544,15.0
50.0,0.0,1.6529960793077927,2.873479065757394,2.914711179857533,15.0
50.0,0.0,3.3806024573024875,8.368795351211281,10.629306376324752,15.0
50.0,0.0,1.151075505327596,2.9546216212299914,8.68522710260639,15.0
50.0,0.0,2.4582094489750625,4.245910922875797,8.174578046776164,15.0
50.0,0.0,1.4607755320229108,1.8218457741353014,2.128162762872525,15.0
50.0,0.0,1.3511148341090504,2.159223603276277,6.658012814180883,15.0
50.0,0.0,3.8311711798158603,18.8468446495731,25.2868057410932,15.0
50.0,0.0,3.097501349604102,12.403412592868424,23.704316662150728,15.0
