dataset,n,delta,kappa,cp_gap,risk_gap,nc
housing,500,0,3.7453405884768363,0.024880103330133574,0.012965509124647057,125
housing,500,1,1.5254257806691356,-0.0019448686004175375,0.00036412432352528334,125
housing,500,0,7.2700209041459125,0.05417732004020004,0.006419229022000594,125
housing,500,1,2.2127256772536805,0.001880434533241937,-0.00038721932964086436,125
housing,500,0,1.1234115880458744,0.0010132153397848231,3.0269152103967745e-05,125
housing,500,1,4.859045328243563,-0.0036649329121722918,0.0024445168587984845,125
housing,500,0,4.479626378768655,0.010691389966332565,0.0008231858554558213,125
housing,500,0,3.682010916459037,0.014487744551027637,0.0005514029282177035,125
housing,500,0,3.407755051196911,-0.010606402893960087,-0.0001693829254404977,125
housing,500,1,1.9679842817046727,0.006022505607576889,-9.581804427061247e-06,125
housing,500,0,0.6462681171202446,0.0008767820604234089,0.0009179613656690733,125
housing,500,0,2.1202593276541224,0.006774316382430756,0.056771100713251865,125
housing,500,1,0.4582445242697664,0.0038382813086930145,-0.007878058657849851,125
housing,500,0,4.659904969662832,0.0074130506913459016,3.330847534493975e-05,125
housing,500,0,4.298271935952595,0.007262803980521371,0.006850810551340347,125
housing,500,0,0.4459931848840909,0.0018736832065457953,0.001333021654287725,125
housing,500,1,0.6181792430367028,0.001041781323199542,-0.0014878156385932928,125
housing,500,0,2.1693785562479664,0.011522138935206705,0.0058928602189597945,125
housing,500,1,1.0702211163642827,0.0020382667026426216,-0.0011574125793102352,125
housing,500,0,4.089514944283333,0.029588227707051384,0.1263299819639856,125
housing,500,1,0.0547297727933581,-0.0012775427105957693,0.0005700839212680331,125
housing,500,1,4.174351395819394,-0.010709903808688193,0.002052367484683182,125
housing,500,1,0.43702059028554324,0.0007164856978072454,-2.5752105134252412e-05,125
housing,500,0,1.1295748714659137,0.01286329717985768,0.0010391453942701079,125
housing,500,0,1.510020299560393,0.0027744773818190183,4.478922329909096e-05,125
housing,500,0,1.2922204169928149,0.017264445451081967,0.0005752568682402814,125
housing,500,0,6.752608255947664,0.011128802818039851,0.004312581138390892,125
housing,500,1,6.3600389739844765,-0.023608825787727605,0.0089674794977041,125
housing,500,1,1.2987758953480095,-0.006003547866040959,0.0060886703030808564,125
housing,500,1,1.9258471266295154,-0.0020013297461907165,8.188107093093366e-05,125
housing,500,0,0.3918866211342506,0.0024715282863094767,0.24509227001853018,125
housing,500,0,0.3441875322938487,0.00042927899884559473,0.00039009421870500605,125
housing,500,1,6.969196825023799,0.007869015745676444,-0.00024245343372120143,125
housing,500,1,6.5683542534616945,0.044372774403135695,-0.00014374949617243504,125
housing,500,1,10.548270307598806,0.02346829688310903,-9.64539538899356e-05,125
housing,500,1,3.3993875352092835,-0.004564348578630861,0.00028088463397180075,125
housing,500,1,0.5194272335024972,-0.002535720016386689,0.0006046057694619189,125
housing,500,1,1.7016148292099698,0.0013627799224487092,-7.635809451050912e-05,125
housing,500,0,4.403290749188717,0.00868378097493494,0.0009242374354121452,125
housing,500,1,2.5685968227545093,-0.0025726482018535446,0.0005734508449051212,125
housing,500,1,0.017228531478360048,-1.969760326958614e-05,0.000546739883115821,125
housing,500,1,2.186475307104602,-0.007894443414157237,0.0008603576097861443,125
housing,500,0,0.13233271954368853,0.0003917518134868292,0.0019755960055339306,125
housing,500,0,0.6313488306276981,0.0017941924278574994,0.01153180514161889,125
housing,500,1,0.33439157860806784,-0.002515857640117858,0.00698360991137309,125
housing,500,0,0.8439058678345227,0.004169866974742087,0.006093587804054668,125
housing,500,0,1.3242761093390603,0.0015295059483968476,4.9463835047391935e-05,125
housing,500,1,2.1221078495883137,0.005089864735201344,-0.00020998280178449735,125
housing,500,1,1.9009056646212938,-0.004235422432155911,0.006179089281748262,125
housing,500,1,2.280226403338399,-0.009254394013743283,8.287365054418516e-05,125
housing,500,0,2.4393140118573355,0.02959257740884813,0.012834172457080073,125
housing,500,0,0.41091434799650656,-0.0003383121454880733,-0.0032550217940975346,125
housing,500,0,1.0194906602352107,0.001865437515938817,0.0017225395462861504,125
housing,500,1,0.6134085816850682,-0.031126987614696455,0.01460172131141832,125
housing,500,1,0.4922232603256427,-0.006602328173235028,0.008165837658367037,125
housing,500,0,0.3292841200996756,-0.0001954379289643704,-0.00011691277270584055,125
housing,500,0,3.1698673465353573,-0.005259705139036175,-0.0055825110576269155,125
housing,500,1,0.4752010541728216,0.0007199231862700106,-0.0001333345580152856,125
housing,500,0,2.569343168578451,0.00462120129244048,0.006114108040851163,125
housing,500,0,0.07535204794819718,0.002082231571063353,0.0024885529436214915,125
housing,500,1,1.104740575630889,0.002382772182071058,-1.4241689372529454e-05,125
housing,500,0,5.133750123549047,0.016404219869922132,0.0019159319425475219,125
housing,500,0,7.094620931069433,0.026746562610434177,0.0021477701830345808,125
housing,500,0,4.613275337966969,-0.0031478920059440085,-0.00016228760057093727,125
housing,500,1,1.1179744009587764,-0.0016588945244209174,0.0002676518764059277,125
housing,500,0,0.283571138586858,0.0012871830824692232,0.0019837235810513665,125
housing,500,0,2.503805344364451,0.014315566424846882,0.3611183590013055,125
housing,500,0,0.33439449221341927,-0.0005297748133452629,-0.0020367794371735637,125
housing,500,1,5.466558518673407,-0.006248986623514696,0.0019919306736785325,125
housing,500,1,1.0988268576888682,-0.002901042305367696,0.003059169871213907,125
housing,500,0,4.801039132445359,0.018775206959167123,0.019233915519280442,125
housing,500,1,1.7890770159357383,0.003490695546373823,-0.00022622722675863516,125
housing,500,0,0.8834868647385576,-0.003684011787043584,-0.0002519188760843061,125
housing,500,0,5.426862274619335,0.01959101022247145,0.002407039829075641,125
housing,500,1,0.16806139783793828,-0.00156187495812099,4.137177709029327e-06,125
housing,500,0,1.6657169486601517,-0.001987773956008576,-6.371899982426932e-06,125
housing,500,0,0.5734392418921508,-0.026163599298401286,-0.003128701838973069,125
housing,500,1,3.5620481779864526,-0.004210203875015361,0.0009902082886243946,125
housing,500,0,2.7831416399633517,0.004769191241354109,0.013600592920515409,125
housing,500,1,0.7123530558647024,-0.0012001027484771498,0.0006400353029583639,125
housing,500,0,2.673272575276955,-0.0023417985903180227,-0.0007068421738380959,125
housing,500,0,0.8445186062142425,0.015829441326564275,0.009252345828403175,125
housing,500,1,2.8927365447735793,-0.00836816519624417,0.0013674423202420516,125
housing,500,0,2.4972569317157536,0.005970869554363434,0.002731723024395394,125
housing,500,0,2.7449300316350898,-0.0021789681859978316,-7.816240352398474e-05,125
housing,500,1,3.148252074555588,0.02474522603725582,-0.0010632782160902576,125
housing,500,0,0.13286065320111162,0.0041549413075694375,0.0032315053902265967,125
housing,500,0,3.040312018867633,0.025803100238197096,0.009203076947787048,125
housing,500,0,0.8765848780007984,0.0018299894653936999,0.0006441205815694018,125
housing,500,1,2.657504244916804,-0.006174619001011239,0.0004117848018362069,125
housing,500,1,3.330147536684717,0.014938027692978029,-0.017623911441249418,125
housing,500,0,0.16842828922010525,0.0009942018666564412,0.0008588209023621118,125
housing,500,0,0.06501896898279574,-5.822221264684124e-05,-7.328783273247153e-05,125
housing,500,0,7.247339160693104,0.008256896597934826,0.0013615927866288402,125
housing,500,1,1.1750481062979734,-0.006658566524557541,0.17867277262828152,125
housing,500,0,4.1280659927751,0.007659665203050947,0.0002240591702292738,125
housing,500,1,3.724765459944404,-0.006042511049546562,0.0033541216208945457,125
housing,500,1,0.7752958664289569,0.006575455290375176,-0.001619820063581634,125
housing,500,1,0.7557513735585297,-0.000686578193631382,0.00045430157515144454,125
housing,500,0,1.7730039006336478,0.015260077059930488,0.0038149950638247387,125
housing,500,1,1.664434291289364,-0.005830551184266675,0.0015003860341664677,125
housing,500,1,0.9986207004559796,-0.002477019591130114,0.021123456243905325,125
housing,500,1,0.2254877133433361,-0.0003638209227483369,0.0003942501999834036,125
housing,500,1,0.06975775913316928,0.00033312194420553887,-0.0006433931506812651,125
housing,500,0,0.2835738036216508,0.0002506944894016261,0.0015663637136905106,125
housing,500,0,1.3414722091355653,-0.002941371909337409,-0.0008213332774967275,125
housing,500,1,2.7161349419840835,0.003732397248484176,-0.003104909768986086,125
housing,500,1,0.863073946794348,0.0022641915873049534,-0.0003235837915941675,125
