dataset,n,delta,kappa,cp_gap,risk_gap,nc
diabetes,200,0,0.8070804994210936,-14.645303408393886,-1726.386939722298,50
diabetes,200,1,0.44268727338012276,10.8353550029166,-943.4505929540237,50
diabetes,200,0,1.147470469557107,-25.34776382272898,-1579.4251672292862,50
diabetes,200,0,0.49139528833475654,-10.788106784979504,-1489.9592281251003,50
diabetes,200,0,1.7505348587811826,-32.32439336348557,-529.8433648289902,50
diabetes,200,1,0.014000533400888849,0.26592543186313833,-801.4235114491007,50
diabetes,200,0,1.2031122501582925,-38.72377941405955,-315.9775379707771,50
diabetes,200,1,1.5884332418889426,-34.20983919787798,183.28449036893244,50
diabetes,200,0,0.6881501774851638,-14.734197998406842,-1887.5684972673362,50
diabetes,200,0,1.2842015359205434,-24.90606015227371,-954.9140319954149,50
diabetes,200,0,0.8135182080957842,-17.877666667552717,-640.4260225059584,50
diabetes,200,0,0.8589815789612054,-21.77482897964822,-455.09720678422536,50
diabetes,200,1,0.16209779850367864,4.488452509913543,-2112.6778554420953,50
diabetes,200,0,1.6890212015138788,-42.81363294441536,-502.6360469845813,50
diabetes,200,1,0.8106362630012469,17.7441619967436,-1617.5386476877811,50
diabetes,200,0,0.4457732119340141,-8.354252127036972,-1410.9211286821646,50
diabetes,200,0,0.4402967172576973,-9.828873818964269,-1014.5997718438052,50
diabetes,200,0,0.6615803760831132,-19.82230875779382,-361.57504748774136,50
diabetes,200,1,0.5670714067905888,13.952319290914943,-210.37358143516894,50
diabetes,200,0,0.33483725343417814,-6.148268338567533,-1498.87370174441,50
diabetes,200,0,1.5758780873953915,-37.12463550435939,-1644.8779517800267,50
diabetes,200,0,0.34933099278713375,-7.766373173360705,-1342.850303994559,50
diabetes,200,0,0.6355824576294067,-17.548269735745805,-73.60933835339438,50
diabetes,200,1,0.2074599308897652,4.194439242240179,-483.38385541687876,50
diabetes,200,0,1.0600957930231822,-27.262018141731033,-1087.0663214734618,50
diabetes,200,0,0.6722223878069624,-14.22269049679656,-221.29571797124754,50
diabetes,200,0,0.9998799165638201,-26.504485960574385,-752.8863162571233,50
diabetes,200,0,1.910949977583699,-53.550956744531334,-1339.9489810124605,50
diabetes,200,0,0.7134435994674542,-16.287572426028134,-1275.2250351904167,50
diabetes,200,1,1.2005243309273885,28.49594118710405,-1167.5968231098836,50
diabetes,200,0,2.0614060830078267,-39.875303256887065,-1459.9099214022303,50
diabetes,200,0,2.789990611550055,-70.37068371382671,-852.9240218808741,50
diabetes,200,1,0.40873499533256,8.415444812443354,-1206.1018680037632,50
diabetes,200,0,1.6375735359277086,-46.65159771942055,-1676.4634169803726,50
diabetes,200,1,0.23892397190290232,5.407882846728967,-1073.606103375765,50
diabetes,200,0,1.4358996313949441,-26.11910259649298,-1922.2052388676252,50
diabetes,200,1,0.2105359728122672,6.040252414284282,-1276.387301015336,50
diabetes,200,0,1.9874592514485934,-42.070045998137005,-1154.7550539264535,50
diabetes,200,0,0.9981878203358154,-21.097100613185404,-651.0323679238659,50
diabetes,200,0,0.4956331165535301,-12.135616683435757,-1897.9826629153777,50
diabetes,200,0,2.017548552937034,-52.608608742927714,-1077.9775020862471,50
diabetes,200,0,0.7179691775176984,-18.75597899637765,-651.7215070572706,50
diabetes,200,0,0.35547128268035066,-7.406181127687262,-1118.7975948556427,50
diabetes,200,0,1.33985351687155,-24.259044509360876,-1058.2421636691688,50
diabetes,200,0,0.8574620433034839,-17.324387739761818,-603.4875093283677,50
diabetes,200,0,1.9385054687677021,-37.035559051795985,-757.3496190557607,50
diabetes,200,0,0.7687913725060407,-15.784552910589213,-731.3657398904993,50
diabetes,200,0,1.550856176660441,-32.500236720960885,-804.8930564505135,50
diabetes,200,0,0.9872002896340611,-23.32968709642691,-1599.5809580545065,50
diabetes,200,0,0.449174739699339,-12.76582485014697,-2666.5334281976816,50
diabetes,200,0,1.2671037427350358,-32.58533240326287,-872.466629986352,50
diabetes,200,1,0.08679152295608861,2.089712793917073,-1909.2353111112584,50
diabetes,200,0,0.6863648743067484,-17.216770786125664,-690.7164608459152,50
diabetes,200,0,0.1947878076288026,-4.474781104028466,-717.941429219683,50
diabetes,200,1,0.6814569493079394,15.890408028372434,-1070.8097086981697,50
diabetes,200,1,0.13924587443143382,3.2595320782257886,-1264.7972722443778,50
diabetes,200,0,1.0165030698845148,-28.555140695754034,-2044.6901590582434,50
diabetes,200,0,1.785483175557144,-35.97272894390474,-1400.3790142335129,50
diabetes,200,0,2.047363427958324,-38.77389207432839,-1266.0752400492647,50
diabetes,200,0,0.15456822667821657,-4.075016350485214,-1572.8732836377358,50
diabetes,200,0,0.8563476060768263,-19.55045263010814,-669.2867296833097,50
diabetes,200,0,0.9096227391169736,-21.035418705669287,-1283.3746960368157,50
diabetes,200,1,1.217733950090837,29.446957356210618,-1089.1745143945818,50
diabetes,200,0,0.34373776379452564,-9.543263789325863,-1100.9512488691626,50
diabetes,200,0,0.5062772660573055,-11.492774941164754,-1718.4106575352534,50
diabetes,200,0,1.156863911625734,-29.83921437261347,-952.1968582886029,50
diabetes,200,0,0.034219773210774414,-0.8397427445208336,-620.3240004198715,50
diabetes,200,0,0.7896195820074168,-20.438766106535212,-1067.027189737591,50
diabetes,200,0,0.32375991548090044,-7.490352926515044,-363.5598515396782,50
diabetes,200,1,0.0504788976934662,1.155953379550084,-1284.9720020814734,50
diabetes,200,0,0.7148811758672304,-16.99594440342665,-1248.7592764011902,50
diabetes,200,0,1.0994610500262867,-25.35828304018952,-639.7142658720782,50
diabetes,200,0,0.6195475323707236,-13.312204519710548,-46.4844178909716,50
diabetes,200,0,1.4583524750333643,-27.951804897081047,-1744.2458402911698,50
diabetes,200,1,0.20170248243221245,4.8820923344734695,-922.8093759522267,50
diabetes,200,0,0.46198297111114955,-11.933523164039627,-1139.7247401667132,50
diabetes,200,0,1.5573222808296225,-38.235702184278324,-1096.6863094735481,50
diabetes,200,1,0.11400119480405026,2.689366403143225,-649.3116039089018,50
diabetes,200,1,1.8283585628678978,45.07836785903331,-378.43153966060436,50
diabetes,200,0,1.8448574876392736,-50.90682914983881,-337.75208304621356,50
diabetes,200,0,1.331749680949634,-25.946218332391453,-1338.8972674279216,50
diabetes,200,0,1.5650571160890412,-39.90012252700993,-896.5185643648542,50
diabetes,200,0,1.9236073686903297,-36.87819123189797,-213.9728837385719,50
diabetes,200,0,1.7342310575092739,-36.56085286956136,-361.64157843111343,50
diabetes,200,0,0.3166580942888626,-9.874892224963986,-806.2213461642305,50
diabetes,200,0,0.795148935997111,-19.36938573418081,-1758.1884586955794,50
diabetes,200,1,0.024452028124096206,0.5433193333154804,-1826.6119295699636,50
diabetes,200,0,0.2477385067434263,-6.517829374936298,-1534.2488128694467,50
diabetes,200,0,1.4825462527515574,-38.75761648696124,-186.7336158381495,50
diabetes,200,0,0.6325085782023548,-18.376420567135256,-162.02078663582915,50
diabetes,200,0,1.9607318731400796,-35.52391752611828,-1601.310347278853,50
